City_Name,District_Name,Area_Name,Latitude,Longitude,Tourist_Place,Hidden_Place,Nearby_Hotel_Name,Hotel_Rating,Hotel_Address,Restaurant_Name,Restaurant_Rating,Restaurant_Address,Tiffin_Center_Name,Tiffin_Address,Lunch_Meals_Hotel,Lunch_Address,Accommodation_Details,Emergency_Service,Emergency_Address,Rating,Description,Final_Rating,Entry_Fee,Hotel
A Konduru,Krishna,A Konduru RTC Bus Stand Area,15.875717,79.725357,A Konduru Cultural Museum,A Konduru Old Fort Ruins,The A Konduru Residency,4.1,"Near A Konduru RTC Bus Stand Area Main Junction, A Konduru",A Konduru Spice Dhaba,4.0,"Opposite A Konduru Botanical Garden, A Konduru RTC Bus Stand Area, A Konduru",New A Konduru Cafe,"Market Road, A Konduru RTC Bus Stand Area, A Konduru",A Konduru Spice Dhaba,"Highway Bypass / A Konduru RTC Bus Stand Area Center, A Konduru",The A Konduru Residency / Similar Accommodations,A Konduru Government Hospital,"Main Road, A Konduru RTC Bus Stand Area, A Konduru",4.0,,4.0,,
A Konduru,Krishna,A Konduru Railway Station Area,16.012061,79.683761,A Konduru Railway Station Area Promenade,A Konduru Railway Station Area Ancient Stepwell,Grand A Konduru Railway Station Area Inn,4.3,"Near A Konduru Railway Station Area Main Junction, A Konduru",A Konduru Railway Station Area Biryani House,4.3,"Opposite A Konduru City Central Park, A Konduru Railway Station Area, A Konduru",Namma A Konduru Railway Station Area Cafe,"Market Road, A Konduru Railway Station Area, A Konduru",A Konduru Railway Station Area Biryani House,"Highway Bypass / A Konduru Railway Station Area Center, A Konduru",Grand A Konduru Railway Station Area Inn / Similar Accommodations,A Konduru Railway Station Area Local Police Station,"Main Road, A Konduru Railway Station Area, A Konduru",4.0,,4.0,,
A Konduru,Krishna,A Konduru Main Bazar,15.886816,79.693369,A Konduru Promenade,A Konduru Old Fort Ruins,Grand A Konduru Residency,4.2,"Near A Konduru Main Bazar Main Junction, A Konduru",A Konduru Biryani House,4.5,"Opposite A Konduru Lake Promenade, A Konduru Main Bazar, A Konduru",Namma A Konduru Breakfast Corner,"Market Road, A Konduru Main Bazar, A Konduru",A Konduru Biryani House,"Highway Bypass / A Konduru Main Bazar Center, A Konduru",Grand A Konduru Residency / Similar Accommodations,A Konduru Fire & Rescue,"Main Road, A Konduru Main Bazar, A Konduru",4.0,,4.0,,
A Konduru,Krishna,A Konduru Main Road,16.00127,79.768672,A Konduru Main Road Lake Viewpoint,A Konduru Main Road Old Fort Ruins,The A Konduru Main Road Inn,4.2,"Near A Konduru Main Road Main Junction, A Konduru",A Konduru Main Road Spice Dhaba,3.6,"Opposite A Konduru Heritage Museum, A Konduru Main Road, A Konduru",Sri A Konduru Main Road Darshini,"Market Road, A Konduru Main Road, A Konduru",A Konduru Main Road Spice Dhaba,"Highway Bypass / A Konduru Main Road Center, A Konduru",The A Konduru Main Road Inn / Similar Accommodations,A Konduru Main Road Fire & Rescue,"Main Road, A Konduru Main Road, A Konduru",4.0,,4.0,,
Achampet,Palnadu,Achampet Railway Station Area,15.835859,79.771178,Achampet Railway Station Area Heritage Temple,Achampet Railway Station Area Old Fort Ruins,Grand Achampet Railway Station Area Inn,3.9,"Near Achampet Railway Station Area Main Junction, Achampet",Achampet Railway Station Area Biryani House,3.8,"Opposite Achampet Heritage Museum, Achampet Railway Station Area, Achampet",Namma Achampet Railway Station Area Tiffin Centre,"Market Road, Achampet Railway Station Area, Achampet",Achampet Railway Station Area Biryani House,"Highway Bypass / Achampet Railway Station Area Center, Achampet",Grand Achampet Railway Station Area Inn / Similar Accommodations,Achampet Railway Station Area Primary Health Centre,"Main Road, Achampet Railway Station Area, Achampet",4.0,,4.0,Free,
Achampet,Palnadu,Achampet Police Station Road,15.950211,79.653761,Achampet Cultural Museum,Achampet Ancient Stepwell,The Achampet Boutique Hotel,3.8,"Near Achampet Police Station Road Main Junction, Achampet",Achampet Biryani House,3.9,"Opposite Achampet Botanical Garden, Achampet Police Station Road, Achampet",Sri Achampet Cafe,"Market Road, Achampet Police Station Road, Achampet",Achampet Biryani House,"Highway Bypass / Achampet Police Station Road Center, Achampet",The Achampet Boutique Hotel / Similar Accommodations,Achampet Primary Health Centre,"Main Road, Achampet Police Station Road, Achampet",4.0,,4.0,,
Achampet,Palnadu,Achampet RTC Bus Stand Area,15.920704,79.687562,Achampet Historic Monument,Achampet Ancient Stepwell,Grand Achampet Boutique Hotel,4.0,"Near Achampet RTC Bus Stand Area Main Junction, Achampet",Achampet Spice Dhaba,4.3,"Opposite Achampet Historic Fort Ruins, Achampet RTC Bus Stand Area, Achampet",Sri Achampet Breakfast Corner,"Market Road, Achampet RTC Bus Stand Area, Achampet",Achampet Spice Dhaba,"Highway Bypass / Achampet RTC Bus Stand Area Center, Achampet",Grand Achampet Boutique Hotel / Similar Accommodations,Achampet Primary Health Centre,"Main Road, Achampet RTC Bus Stand Area, Achampet",4.0,,4.0,,
Achampet,Palnadu,Achampet Main Bazar,15.962713,79.808307,Achampet Central Park,Achampet Sunset Hill,Hotel Achampet Lodge,4.5,"Near Achampet Main Bazar Main Junction, Achampet",Achampet Family Restaurant,4.8,"Opposite Achampet Historic Fort Ruins, Achampet Main Bazar, Achampet",New Achampet Cafe,"Market Road, Achampet Main Bazar, Achampet",Achampet Family Restaurant,"Highway Bypass / Achampet Main Bazar Center, Achampet",Hotel Achampet Lodge / Similar Accommodations,Achampet Local Police Station,"Main Road, Achampet Main Bazar, Achampet",4.0,,4.0,,
Achanta,West Godavari,Achanta Main Bazar,15.916488,79.801585,Achanta Central Park,Achanta Sunset Hill,Hotel Achanta Suites,4.4,"Near Achanta Main Bazar Main Junction, Achanta",Achanta Spice Dhaba,3.8,"Opposite Achanta Lake Promenade, Achanta Main Bazar, Achanta",Authentic Achanta Tiffin Centre,"Market Road, Achanta Main Bazar, Achanta",Achanta Spice Dhaba,"Highway Bypass / Achanta Main Bazar Center, Achanta",Hotel Achanta Suites / Similar Accommodations,Achanta Government Hospital,"Main Road, Achanta Main Bazar, Achanta",4.0,,4.0,,
Achanta,West Godavari,Achanta RTC Bus Stand Area,15.888056,79.685579,Achanta Heritage Temple,Achanta Old Fort Ruins,The Achanta Inn,4.8,"Near Achanta RTC Bus Stand Area Main Junction, Achanta",Achanta Spice Dhaba,4.0,"Opposite Achanta Heritage Museum, Achanta RTC Bus Stand Area, Achanta",New Achanta Tiffin Centre,"Market Road, Achanta RTC Bus Stand Area, Achanta",Achanta Spice Dhaba,"Highway Bypass / Achanta RTC Bus Stand Area Center, Achanta",The Achanta Inn / Similar Accommodations,Achanta Government Hospital,"Main Road, Achanta RTC Bus Stand Area, Achanta",4.0,,4.0,Free,
