City_Name,District_Name,Areas
Paderu,Alluri Sitharama Raju,"Paderu Main Bazar, Paderu RTC Bus Stand Area, Santhi Nagar, Revenue Colony, Paderu Police Station Road, Maruthi Nagar, Sai Nagar"
Chintapalli,Alluri Sitharama Raju,"Chintapalli Main Bazar, Chintapalli RTC Bus Stand Area, Kothapeta, Maruthi Nagar, Revenue Colony, Bhavani Nagar"
Araku Valley,Alluri Sitharama Raju,"Araku Valley Main Bazar, Araku Valley RTC Bus Stand Area, Sai Nagar, Kothapeta, NGO Colony, Araku Valley Main Road, Revenue Colony, Santhi Nagar, Araku Valley Railway Station Area"
Hukumpeta,Alluri Sitharama Raju,"Hukumpeta Main Bazar, Hukumpeta RTC Bus Stand Area, Sai Nagar, Hukumpeta Police Station Road, Santhi Nagar, Gandhi Nagar, Hukumpeta Railway Station Area"
Dumbriguda,Alluri Sitharama Raju,"Dumbriguda Main Bazar, Dumbriguda RTC Bus Stand Area, Dumbriguda Police Station Road, Kothapeta, Santhi Nagar, Bhavani Nagar, Dumbriguda Railway Station Area"
Ananthagiri,Alluri Sitharama Raju,"Ananthagiri Main Bazar, Ananthagiri RTC Bus Stand Area, NGO Colony, Bhavani Nagar, Revenue Colony, Kothapeta, Maruthi Nagar, Ananthagiri Police Station Road, Ananthagiri Railway Station Area, Ananthagiri Main Road"
Pedabayalu,Alluri Sitharama Raju,"Pedabayalu Main Bazar, Pedabayalu RTC Bus Stand Area, Maruthi Nagar, Pedabayalu Police Station Road, Pedabayalu Main Road, Bhavani Nagar, Santhi Nagar, NGO Colony, Kothapeta, Sai Nagar"
Munchingput,Alluri Sitharama Raju,"Munchingput Main Bazar, Munchingput RTC Bus Stand Area, NGO Colony, Munchingput Main Road, Maruthi Nagar, Sai Nagar, Munchingput Police Station Road, Gandhi Nagar"
Gangaraju Madugula,Alluri Sitharama Raju,"Gangaraju Madugula Main Bazar, Gangaraju Madugula RTC Bus Stand Area, Maruthi Nagar, Bhavani Nagar, Gangaraju Madugula Railway Station Area, Sai Nagar, Santhi Nagar"
Koyyuru,Alluri Sitharama Raju,"Koyyuru Main Bazar, Koyyuru RTC Bus Stand Area, NGO Colony, Sai Nagar, Revenue Colony, Koyyuru Railway Station Area, Koyyuru Police Station Road, Maruthi Nagar, Kothapeta"
Y Ramavaram,Alluri Sitharama Raju,"Y Ramavaram Main Bazar, Y Ramavaram RTC Bus Stand Area, Santhi Nagar, NGO Colony, Gandhi Nagar"
Addateegala,Alluri Sitharama Raju,"Addateegala Main Bazar, Addateegala RTC Bus Stand Area, NGO Colony, Santhi Nagar, Revenue Colony, Maruthi Nagar, Addateegala Railway Station Area, Gandhi Nagar, Addateegala Main Road, Addateegala Police Station Road, Sai Nagar"
Rajavommangi,Alluri Sitharama Raju,"Rajavommangi Main Bazar, Rajavommangi RTC Bus Stand Area, Maruthi Nagar, Revenue Colony, Rajavommangi Police Station Road, Santhi Nagar, Rajavommangi Railway Station Area, Bhavani Nagar"
Rampachodavaram,Alluri Sitharama Raju,"Rampachodavaram Main Bazar, Rampachodavaram RTC Bus Stand Area, NGO Colony, Sai Nagar, Revenue Colony, Bhavani Nagar"
Devipatnam,Alluri Sitharama Raju,"Devipatnam Main Bazar, Devipatnam RTC Bus Stand Area, Maruthi Nagar, Sai Nagar, Devipatnam Police Station Road, Bhavani Nagar, Santhi Nagar, Kothapeta"
Maredumilli,Alluri Sitharama Raju,"Maredumilli Main Bazar, Maredumilli RTC Bus Stand Area, Maredumilli Main Road, NGO Colony, Santhi Nagar, Gandhi Nagar, Sai Nagar, Maredumilli Railway Station Area"
Chintoor,Alluri Sitharama Raju,"Chintoor Main Bazar, Chintoor RTC Bus Stand Area, Sai Nagar, NGO Colony, Revenue Colony, Bhavani Nagar, Chintoor Railway Station Area, Kothapeta"
Kunavaram,Alluri Sitharama Raju,"Kunavaram Main Bazar, Kunavaram RTC Bus Stand Area, Maruthi Nagar, Revenue Colony, Kunavaram Railway Station Area, NGO Colony"
Vararamachandrapuram,Alluri Sitharama Raju,"Vararamachandrapuram Main Bazar, Vararamachandrapuram RTC Bus Stand Area, Revenue Colony, Kothapeta, Bhavani Nagar, Santhi Nagar, NGO Colony, Gandhi Nagar, Sai Nagar, Vararamachandrapuram Main Road"
Gudem Kotha Veedhi,Alluri Sitharama Raju,"Gudem Kotha Veedhi Main Bazar, Gudem Kotha Veedhi RTC Bus Stand Area, Santhi Nagar, Gandhi Nagar, Sai Nagar, Gudem Kotha Veedhi Main Road, NGO Colony, Gudem Kotha Veedhi Police Station Road, Kothapeta, Gudem Kotha Veedhi Railway Station Area, Maruthi Nagar, Bhavani Nagar"
Koyyuru Agency Area Villages Cluster,Alluri Sitharama Raju,"Koyyuru Agency Area Villages Cluster Main Bazar, Koyyuru Agency Area Villages Cluster RTC Bus Stand Area, Koyyuru Agency Area Villages Cluster Railway Station Area, Revenue Colony, Koyyuru Agency Area Villages Cluster Main Road, Santhi Nagar, Maruthi Nagar"
Araku Agency Villages Cluster,Alluri Sitharama Raju,"Araku Agency Villages Cluster Main Bazar, Araku Agency Villages Cluster RTC Bus Stand Area, Santhi Nagar, NGO Colony, Maruthi Nagar, Revenue Colony"
Anakapalle,Anakapalli,"Anakapalle Main Bazar, Anakapalle RTC Bus Stand Area, Revenue Colony, Anakapalle Main Road, Maruthi Nagar, Kothapeta, Santhi Nagar, Anakapalle Railway Station Area, Gandhi Nagar, Sai Nagar"
Narsipatnam,Anakapalli,"Narsipatnam Main Bazar, Narsipatnam RTC Bus Stand Area, NGO Colony, Revenue Colony, Santhi Nagar, Kothapeta, Narsipatnam Railway Station Area, Bhavani Nagar"
